family,indicator_type,value,asn,org,registrar,registrant,country,created,contact_emails,network_name,summary,caveat
papermill,domain,dsfgssd.uk.cc,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
papermill,domain,dgdskfds.uk.cc,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
papermill,ip,154.36.188.201,,"PSINet, Inc.",,,,,,COGENT,netname:        NET-154-36-0-0 | descr:          __________________________ | descr:          This block is allocated to an organization in the ARIN | descr:          region. Please query whois.arin.net for more | descr:          information on the registrant. | descr:          __________________________ | country:        MU | org-name:       African Network Information Center - (AfriNIC) Ltd | co,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
papermill,ip,103.119.15.189,,IRT-TGL2-NZ; TURING GROUP LIMITED administrator,,,NZ,,,TGL-AS-AP,netname:        TGL-AS-AP | descr:          Turing Group Limited | country:        NZ | country:        ZZ | country:        NZ,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
kkrat,domain,youdaoselw.icu,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
kkrat,domain,kmhhla.top,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
kkrat,ip,154.44.30.27,,"Cogent Communications, LLC",,,,,,COGENT-154-44-16,netname:        NET-154-44-0-0 | descr:          __________________________ | descr:          This block is allocated to an organization in the ARIN | descr:          region. Please query whois.arin.net for more | descr:          information on the registrant. | descr:          __________________________ | country:        MU | org-name:       African Network Information Center - (AfriNIC) Ltd | co,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
foxveil,domain,syscore.pages.dev,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,cjitdrpwnna.mswinsoftupdload.design,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,lbandugzcfg.deepinspectionsystem.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-09-02T19:01:09.000Z,,,"Creation Date: 2025-09-02T19:01:09.000Z | Registrar: NameCheap, Inc. | Name Server: dns101.registrar-servers.com | Name Server: dns102.registrar-servers.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,lsypdqgxredfpx.mswinsoftupdload.design,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,yhdjtylnsmwvuu.deepinspectionsystem.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-09-02T19:01:09.000Z,,,"Creation Date: 2025-09-02T19:01:09.000Z | Registrar: NameCheap, Inc. | Name Server: dns101.registrar-servers.com | Name Server: dns102.registrar-servers.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,sdxsiol.pnuisckmhwagzvdyjrlbeft.software,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,ezqrvkfgejwctdnc.pnuisckmhwagzvdyjrlbeft.software,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,txjiqslrrig.mswinsoftupdload.design,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,qhtckzbxtkdvyr.mswinsoftupdload.design,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,gitkzxd.pnuisckmhwagzvdyjrlbeft.software,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
dohdoor,domain,gppiwogwndiakkdu.pnuisckmhwagzvdyjrlbeft.software,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
laxgopher,ip,43.231.113.50,AS63962,IRT-ITOOLSLLC-MN; iTools LLC administrator; Intelligent Tools,,,MN,,,ITOOLSLLC-MN,"netname:        ITOOLSLLC-MN | descr:          Apartment # 34, 2nd khoroo | country:        MN | org-name:       Intelligent Tools | country:        MN | country:        ZZ | country:        MN | origin:         AS63962 | descr:          Intelligent Tools","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,118.107.234.26,AS45352,IP SERVERONE SOLUTIONS SDN BHD - Network Administr; IRT-IPSERVERONE-MY,,,MY,,,IPSERVERONE-MY,netname:        IPSERVERONE-MY | descr:          IPSERVERONE - Colocation and Cloud Hosting | country:        MY | country:        ZZ | country:        MY | origin:         AS45352 | descr:          IP ServerOne Solutions Sdn Bhd,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,domain,www.sslvpnserver.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,103.159.132.30,AS55720,Furcop Innovation Sdn Bhd administrator; IRT-FISB-MY,,,MY,,,FURCOP-CUSTOMER-MY,netname:        FURCOP-CUSTOMER-MY | descr:          FURCOP Customer VPS Assignment | country:        MY | country:        ZZ | country:        MY | origin:         AS55720 | descr:          Furcop Blockchain PLT,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,domain,www.threadstub.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,101.99.88.113,AS19324,Shinjiru Technology Sdn Bhd administrator; IRT-SHINJIRU-MY; Shinjiru Technology Sdn Bhd,,,MY,,,SHINJIRU-MY,netname:        SHINJIRU-MY | descr:          Shinjiru Technology Sdn Bhd | country:        MY | country:        MY | org-name:       Shinjiru Technology Sdn Bhd | country:        MY | country:        ZZ | country:        MY | origin:         AS19324 | descr:          Shinjiru Technology Sdn Bhd | origin:         AS45839 | descr:          Shinjiru Technology Sdn Bhd,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,domain,www.blazenewso.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,101.99.88.188,AS19324,Shinjiru Technology Sdn Bhd administrator; IRT-SHINJIRU-MY; Shinjiru Technology Sdn Bhd,,,MY,,,SHINJIRU-MY,netname:        SHINJIRU-MY | descr:          Shinjiru Technology Sdn Bhd | country:        MY | country:        MY | org-name:       Shinjiru Technology Sdn Bhd | country:        MY | country:        ZZ | country:        MY | origin:         AS19324 | descr:          Shinjiru Technology Sdn Bhd | origin:         AS45839 | descr:          Shinjiru Technology Sdn Bhd,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,domain,www.privacypolicy-my.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,118.107.234.29,AS45352,IP SERVERONE SOLUTIONS SDN BHD - Network Administr; IRT-IPSERVERONE-MY,,,MY,,,IPSERVERONE-MY,netname:        IPSERVERONE-MY | descr:          IPSERVERONE - Colocation and Cloud Hosting | country:        MY | country:        ZZ | country:        MY | origin:         AS45352 | descr:          IP ServerOne Solutions Sdn Bhd,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nosydoor,ip,38.54.17.131,,LightNode-SG,,,US,,,LIGHTNODE-SG,"NetName:        COGENT-A | OriginAS: | OrgName:        Cogent Communications, LLC | Country:        US | NetName:        KAOPU-CGNT-NET-1 | OriginAS: | OrgName:        Kaopu Cloud HK Limited | Country:        HK | NetName:        LIGHTNODE-SG | OriginAS: | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.205.154.82,,,,,,,,,rdap_error:HTTP Error 404: Not Found,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,207.148.121.95,AS20473,IRT-CHOOPALLC-AP; Choopa LLC administrator,,,SG,,,SGP_VULTR_CUST,"NetName:        APNIC | OriginAS: | OrgName:        Asia Pacific Network Information Centre | Country:        AU | netname:        SGP_VULTR_CUST | descr:          SGP_VULTR_CUST | country:        SG | country:        ZZ | country:        US | origin:         AS20473 | descr:          The Constant Company, LLC","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,207.148.120.52,AS20473,IRT-CHOOPALLC-AP; Choopa LLC administrator,,,SG,,,SGP_VULTR_CUST,"NetName:        APNIC | OriginAS: | OrgName:        Asia Pacific Network Information Centre | Country:        AU | netname:        SGP_VULTR_CUST | descr:          SGP_VULTR_CUST | country:        SG | country:        ZZ | country:        US | origin:         AS20473 | descr:          The Constant Company, LLC","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,212.11.64.105,,Internet Assigned Numbers Authority,,,,,,RIPE-NCC-MANAGED-ADDRESS-BLOCK,netname:        IANA-BLK | descr:          The whole IPv4 address space | country:        EU # Country field is actually all countries in the world and not just EU countries | org-name:       Internet Assigned Numbers Authority,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,149.28.25.33,,"Vultr Holdings, LLC",,,US,,,NET-149-28-24-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-149-28-24-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        JP","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.205.154.194,AS138915,Cloud Innovation Support,,,AR,,,154.205.154.0 - 154.205.154.255,netname:        Lightnode_Limited | descr:          Lightnode Limited | country:        AR | descr:          Lightnode Limited | origin:         AS138915,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.205.154.65,AS138915,Cloud Innovation Support,,,AR,,,154.205.154.0 - 154.205.154.255,netname:        Lightnode_Limited | descr:          Lightnode Limited | country:        AR | descr:          Lightnode Limited | origin:         AS138915,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.205.154.70,,,,,,,,,rdap_error:HTTP Error 404: Not Found,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.223.21.130,,,,,,,,,rdap_error:HTTP Error 404: Not Found,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,154.223.21.194,AS138915,Cloud Innovation Support,,,HK,,,154.223.21.0 - 154.223.21.255,netname:        Lightnode_Limited | descr:          Lightnode Limited | country:        HK | descr:          Lightnode  Limited | origin:         AS138915 | descr:          Lightnode Limited | origin:         AS154177,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,158.247.238.240,AS20473,"IRT-CONSTANT-AP; The Constant Company LLC administrator; The Constant Company, LLC",,,JP,,,CONSTANT-AP,"NetName:        APNIC | OriginAS: | OrgName:        Asia Pacific Network Information Centre | Country:        AU | netname:        CONSTANT-AP | descr:          The Constant Company, LLC | country:        JP | org-name:       The Constant Company, LLC | country:        US | country:        ZZ | country:        US | origin:         AS20473 | descr:          The Constant Company, LLC","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,216.238.112.222,,"Vultr Holdings, LLC",,,US,,,NET-216-238-112-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-216-238-112-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        CA","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,216.238.123.242,,"The Constant Company, LLC",,,US,,,CONSTANT,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,216.238.94.37,,VULTR-MEXICO,,,US,,,VULTR,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        VULTR | OriginAS: | Country:        MX","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,38.54.125.134,,LightNode-MY,,,US,,,LIGHTNODE-MY,"NetName:        COGENT-A | OriginAS: | OrgName:        Cogent Communications, LLC | Country:        US | NetName:        KAOPU-CGNT-NET-1 | OriginAS: | OrgName:        Kaopu Cloud HK Limited | Country:        HK | NetName:        LIGHTNODE-MY | OriginAS: | Country:        MY","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,38.60.199.34,,LightNode-SG,,,US,,,LIGHTNODE-SG,"NetName:        COGENT-A | OriginAS: | OrgName:        Cogent Communications, LLC | Country:        US | NetName:        KAOPU-CGNT-NET-2 | OriginAS: | OrgName:        Kaopu Cloud HK Limited | Country:        HK | NetName:        LIGHTNODE-SG | OriginAS: | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,45.32.106.94,,"Vultr Holdings, LLC",,,US,,,NET-45-32-106-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-45-32-106-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,45.77.34.194,,"Vultr Holdings, LLC",,,US,,,NET-45-77-34-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-45-77-34-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,45.77.41.141,,"Vultr Holdings, LLC",,,US,,,NET-45-77-40-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-45-77-40-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,47.76.100.159,,Alibaba Cloud - HK,,,US,,,ALIBABA CLOUD - HK,NetName:        AL-3 | OriginAS: | OrgName:        Alibaba Cloud LLC | Country:        US | NetName:        ALIBABA CLOUD - HK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,64.190.113.170,,BL Networks,,,US,,,BNL-77,NetName:        BNL-77 | OriginAS: | OrgName:        BL Networks | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
terndoor,ip,64.95.10.253,,BL Networks,,,US,,,BNL-77,NetName:        BNL-77 | OriginAS: | OrgName:        BL Networks | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
peertime,ip,185.196.10.247,,Internet Assigned Numbers Authority,,,,,,RIPE-NCC-MANAGED-ADDRESS-BLOCK,netname:        IANA-BLK | descr:          The whole IPv4 address space | country:        EU # Country field is actually all countries in the world and not just EU countries | org-name:       Internet Assigned Numbers Authority,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
peertime,ip,185.196.10.38,,Internet Assigned Numbers Authority,,,,,,RIPE-NCC-MANAGED-ADDRESS-BLOCK,netname:        IANA-BLK | descr:          The whole IPv4 address space | country:        EU # Country field is actually all countries in the world and not just EU countries | org-name:       Internet Assigned Numbers Authority,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
peertime,domain,xtibh.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
peertime,domain,xcit76.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-05-24T08:18:20Z,a754753a02a543c389629235f4b01aa2.protect@withheldforprivacy.com,,PRIVACY_REDACTED; Creation Date: 2025-05-24T08:18:20.00Z | Registrar: NAMECHEAP INC | Registrant Name: Redacted for Privacy Purposes | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: apollo.ns.cloudflare.com | Name Server: noor.ns.cloudflare.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
peertime,domain,bloopencil.net,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,ip,172.86.98.113,,RouterHosting LLC,,,US,,,ROUTERHOSTING,NetName:        PONYNET-16 | OriginAS: | OrgName:        FranTech Solutions | Country:        US | NetName:        ROUTERHOSTING | OriginAS: | OrgName:        RouterHosting LLC | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,aecert.org,,"NameCheap, Inc.","NameCheap, Inc.",,,2026-04-01T21:36:54Z,,,"PRIVACY_REDACTED; Creation Date: 2026-04-01T21:36:54Z | Registrar: NameCheap, Inc. | Name Server: failed-whois-verification.namecheap.com | Name Server: verify-contact-details.namecheap.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,buisness-centeral-transportation.com,,Registrant Street: DATA REDACTED,"Cloudflare, Inc.",Registrant Street: DATA REDACTED,NL,2026-07-28T18:26:37Z,,,"PRIVACY_REDACTED; Creation Date: 2026-07-28T18:26:37Z | Registrar: Cloudflare, Inc. | Registrant Name: DATA REDACTED | Registrant Organization: | Name Server: audrey.ns.cloudflare.com | Name Server: kayden.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,business-deegital.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,business-deegital.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-02-19T10:12:33Z,0b9f72f9b0e1432d951e8a96b97e196a.protect@withheldforprivacy.com,,PRIVACY_REDACTED; Creation Date: 2025-02-19T10:12:33.00Z | Registrar: NAMECHEAP INC | Registrant Name: Redacted for Privacy Purposes | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: leonard.ns.cloudflare.com | Name Server: nelci.ns.cloudflare.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,business-startup.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,businessdeegital.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,businessmixture.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-08-08T07:49:10Z,reactivation-pending@mail.withheldforprivacy.com,,Creation Date: 2025-08-08T07:49:10.00Z | Registrar: NAMECHEAP INC | Registrant Name: REACTIVATION PERIOD | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: dns101.registrar-servers.com | Name Server: dns102.registrar-servers.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,businessstartup.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,global-reds.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-02-19T08:37:09Z,e803c89b6f424b0587d4fc1217fb3584.protect@withheldforprivacy.com,,PRIVACY_REDACTED; Creation Date: 2025-02-19T08:37:09.00Z | Registrar: NAMECHEAP INC | Registrant Name: Redacted for Privacy Purposes | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: gannon.ns.cloudflare.com | Name Server: nia.ns.cloudflare.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,healthcarezoom-centeral.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,healthcarezoomcenteral.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,healthcarezoomcenteral.org,,"Cloudflare, Inc.","Cloudflare, Inc.",,,2026-07-28T18:25:59Z,,,"PRIVACY_REDACTED; Creation Date: 2026-07-28T18:25:59Z | Registrar: Cloudflare, Inc. | Name Server: audrey.ns.cloudflare.com | Name Server: kayden.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,maadinglobal.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-02-20T10:03:23Z,05e60eec7daa4a3298ffbc2de41eb784.protect@withheldforprivacy.com,,PRIVACY_REDACTED; Creation Date: 2025-02-20T10:03:23.00Z | Registrar: NAMECHEAP INC | Registrant Name: Redacted for Privacy Purposes | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: lindsey.ns.cloudflare.com | Name Server: piotr.ns.cloudflare.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,neexportfolio.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,neexportfolio.com,,Registrant Street: DATA REDACTED,"Cloudflare, Inc.",Registrant Street: DATA REDACTED,AE,2026-07-16T08:14:38Z,,,"PRIVACY_REDACTED; Creation Date: 2026-07-16T08:14:38Z | Registrar: Cloudflare, Inc. | Registrant Name: DATA REDACTED | Registrant Organization: | Name Server: audrey.ns.cloudflare.com | Name Server: kayden.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,neexportfolio.eastus.cloudapp.azure.com,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,realhealthshop.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2026-06-10T11:15:56Z,820cb3577e6e4e39b43d93fa8d6f5911.protect@withheldforprivacy.com,,PRIVACY_REDACTED; Creation Date: 2026-06-10T11:15:56.00Z | Registrar: NAMECHEAP INC | Registrant Name: Redacted for Privacy Purposes | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: dns1.registrar-servers.com | Name Server: dns2.registrar-servers.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,smartconnect.azurewebsites.net,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
nightledger,domain,thehealth-life.com,,Privacy service provided by WITHHELD FOR PRIVACY LLC,"NameCheap, Inc.",Privacy service provided by WITHHELD FOR PRIVACY LLC,US,2025-07-22T12:22:02Z,reactivation-pending@mail.withheldforprivacy.com,,Creation Date: 2025-07-22T12:22:02.00Z | Registrar: NAMECHEAP INC | Registrant Name: REACTIVATION PERIOD | Registrant Organization: Privacy service provided by WITHHELD FOR PRIVACY LLC | Name Server: dns101.registrar-servers.com | Name Server: dns102.registrar-servers.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
